Source Entity,Target Entity
admin.test8.dsk.uw.edu.pl
admin.uw.edu.pl
anthropology.uw.edu.pl
archeo.uw.edu.pl
biol.uw.edu.pl
buw.uw.edu.pl
buwcd.buw.uw.edu.pl
cas-test-1.net.uw.edu.pl
chem.uw.edu.pl
cloud.uw.edu.pl
coin.wne.uw.edu.pl
dialektologia.uw.edu.pl
ebuw.uw.edu.pl
edukacja-filozoficzna.uw.edu.pl
en.uw.edu.pl
euroreg.uw.edu.pl
geo.uw.edu.pl
google.uw.edu.pl
googlemail.uw.edu.pl
gwarypolskie.uw.edu.pl
hcps-test.net.uw.edu.pl
hmailserver.wz.uw.edu.pl
idea6fp.uw.edu.pl
ips.uw.edu.pl
mail.rwe.wdib.uw.edu.pl
minio-testdak.net.uw.edu.pl
mx1.uw.edu.pl
news.uw.edu.pl
ns1.uw.edu.pl
orient.uw.edu.pl
osaweb-test.net.uw.edu.pl
pcma.uw.edu.pl
revitalization.al.uw.edu.pl
smtp.uw.edu.pl
test-https.cent.uw.edu.pl
test.abc.uw.edu.pl
test.audyt.bon.uw.edu.pl
test.cwid.uw.edu.pl
test.hebraistyka.uw.edu.pl
test.iszip.uw.edu.pl
test.msos.uw.edu.pl
test.nastrazysondazy.uw.edu.pl
test.papyrocongress2013.wpia.uw.edu.pl
test.przekaz-digitalny.uw.edu.pl
test.slownikpjm.uw.edu.pl
test.www.slowanaczasie.uw.edu.pl
test4.al.uw.edu.pl
usosweb.uw.edu.pl
uw-vpn1.rtr.net.uw.edu.pl
uw.edu.pl
uwapi-test.net.uw.edu.pl
vpn.net.uw.edu.pl
webmail.blog.lbm.uw.edu.pl
wgsr.uw.edu.pl
wifi.uw.edu.pl
wne.uw.edu.pl
wnpism.uw.edu.pl
www.uw.edu.pl
wz.uw.edu.pl
