Source Entity,Target Entity
10.12.11.100
10.12.2.25
10.30.1.50
10.4.70.130
10.4.70.66
109.95.159.36
193.0.108.50
193.0.111.125
193.0.111.233
193.0.111.254
193.0.112.72
193.0.113.12
193.0.115.134
193.0.115.137
193.0.115.153
193.0.115.242
193.0.115.244
193.0.118.35
193.0.118.92
193.0.126.38
193.0.126.81
193.0.64.154
193.0.64.245
193.0.66.108
193.0.66.98
193.0.67.166
193.0.71.123
193.0.71.124
193.0.71.50
193.0.71.57
193.0.78.31
193.0.81.23
193.0.91.64
193.0.91.97
193.0.94.133
193.0.97.56
212.87.11.26
212.87.11.52
212.87.3.242
